ID,Game Title,Source,Researcher,Included,Exclusion Notes,URL,Publication Year,Developers,Publisher,Still being used in classrooms?,Still accessible/downloadable?,Discontinued support?,Generalized Subject,Subject1,Subject2,Subject remainder (a++ b++ c),Teaching (College++ Training++ Work),Colleges that use the game,Cost,Game Type (Story++ Simulation...),Genre: single player++ multiplayer++ other (specify),Tags,Game Time,2D/3D,Sound,Platform,Available in Spanish,Available in other languages,Notes,Image
1431,Raindrops,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1432,Reading Blaster Ages 6-7,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1433,River of Justice,Games and Impact,Tristen,TRUE,,https://gamesandimpact.org/transformational-play/,,2013,Arizona State University,N,N,Y,Humanitarian ,Social Work,,,Undergraduate,,N/A,Story,Singleplayer,,2 hr,3D,Y,PC,N,N,,
1434,River Ranger,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1435,Robo Ops,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1436,SAT Vocab by Mindsnacks,Apple App Store,Tristen,FALSE,10-12 curriculum,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,,Mindsnacks,,,,,,,,,,,,,,,,,,,,,
1437,Scan Command: Jurassic Park,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1438,Sigma Prime,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1439,Sigurd's History of Denmark,SeriousGames,Tristen,FALSE,5-12 curriculum,https://www.seriousgames.net/en/,,,Serious Games Interactive,,,,,,,,,,,,,,,,,,,,,
1440,Skyrise,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1441,Sortify: U.S. Citizenship,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1442,Space Adventure,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1443,Space Trace,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1444,Spatial Speed Match,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1445,SpeakApp,SeriousGames,Tristen,FALSE,5-12 curriculum,https://www.seriousgames.net/en/,,,Serious Games Interactive,,,,,,,,,,,,,,,,,,,,,
1446,Speed Match,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1447,Speed Match Overdrive,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1448,Speed Pack,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1449,Split Brain Experiments,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/split-brain/index.php,,2022,Nobel Media,N,Y,N,Biology,Neuroscience,Biology,Psychology,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1450,Splitting Seeds,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1451,Star Search,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1452,Sundae Times,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1453,Sundae Times Lite,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1454,Superman Activity Center,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1455,Symmetry,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1456,Symmetry Fun,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1457,Taking Root,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1458,Tangled Web,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1459,Tanks,BrainQuake,Tristen,FALSE,K-Adult audience; no post-high school content,,,,,,,,,,,,,,,,,,,,,,,,,
1460,TeleStory,Appspy,Tristen,FALSE,Does not correlate with any curriculum,https://www.appspy.com/publisher/72579/launchpad-toys,,,Launchpad Toys,,,,,,,,,,,,,,,,,,,,,
1461,Ten Events,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1462,The Doctors Cure,Games and Impact,Tristen,TRUE,,https://gamesandimpact.org/transformational-play/,,2012,Arizona State University,N,N,Y,Language,Philosophy,English,Philantropy,Undergraduate,,N/A,Story,Singleplayer,,2 hr,3D,Y,PC,N,N,,
1463,The Incredible Megacell,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/cell/index.php,,2022,Nobel Media,N,Y,N,Biology,Physiology,Biology,,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1464,The Math Obby,Roblox,Tristen,FALSE,K-12 audience,https://www.roblox.com/games/2686040248/Math-Obby,2022,0bid0,Roblox,N,Y,N,,Mathematics,,,Undefined,,Free,,Multiplayer,Educational++ Platformer,,3D,Y,PC,,N,,
1465,The Odyssey of Sergeant Jack Brennan,E-Line Media,Tristen,FALSE,Unreleassed,https://elinemedia.com/projects/,,,,,Y,,,,,,,,,,,,,,,,,,,
1466,The Wrenchs Factor,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1467,Tidal Treasures,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1468,Tiles,BrainQuake,Tristen,FALSE,K-Adult audience; no post-high school content,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Toontastic,Appspy,Tristen,FALSE,Does not correlate with any curriculum,https://www.appspy.com/publisher/72579/launchpad-toys,,,Launchpad Toys,,,,,,,,,,,,,,,,,,,,,
1470,Toontastic - Create & Share Cartoons,Appspy,Tristen,FALSE,Does not correlate with any curriculum,https://www.appspy.com/publisher/72579/launchpad-toys,,,Launchpad Toys,,,,,,,,,,,,,,,,,,,,,
1471,Toontastic Jr. Kung Fu Panda,Appspy,Tristen,FALSE,Does not correlate with any curriculum,https://www.appspy.com/publisher/72579/launchpad-toys,,,Launchpad Toys,,,,,,,,,,,,,,,,,,,,,
1472,Toontastic Jr. Pirates,Appspy,Tristen,FALSE,Does not correlate with any curriculum,https://www.appspy.com/publisher/72579/launchpad-toys,,,Launchpad Toys,,,,,,,,,,,,,,,,,,,,,
1473,Toontastic Jr. Shrek Movie Maker,Appspy,Tristen,FALSE,Does not correlate with any curriculum,https://www.appspy.com/publisher/72579/launchpad-toys,,,Launchpad Toys,,,,,,,,,,,,,,,,,,,,,
1474,Top Derm,Apple App Store,Tristen,TRUE,,https://www.levelex.com/games/,,,Level Ex,Y,Y,N,Biology,Dermatology,Medicine,Biology,Undergraduate/Graduate,,Free,Puzzle,Singleplayer,,,3D,Y,IOS/Android,N,N,,
1475,Top That,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1476,Tracing Tomorrow,Google Play,Tristen,TRUE,,https://preloaded.com/our-work/,,,Preloaded,Y,Y,N,Psychology,Psychology,,,Undergraduate,,Free,Point-and-Click,Singleplayer,,,2D,N,PC,N,N,,
1477,Trade Ruler,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/economic-sciences/trade/index.php,,2022,Nobel Media,N,Y,N,Economics,Economics,Government,,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1478,Train of Thought,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1479,Transformative Learning,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1480,Transtar,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1481,Trouble Brewing,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1482,Twelve Tone Musical Scale,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1483,Typefaces/Fonts,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1484,Undersea Adventure,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1485,Velocity and Displacement,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1486,Ways 2 Sort,SeriousGames,Tristen,FALSE,5-12 curriculum,https://www.seriousgames.net/en/,,,Serious Games Interactive,,,,,,,,,,,,,,,,,,,,,
1487,Weather and Climate: Great Pacific Garbage Patch,TeachersPayTeachers,Tristen,FALSE,Middle School Audience,https://www.tytoonline.com/,,Tyto Online,,Y,Y,N,,,,,,,Free,,Singleplayer,Simulation++ Educational,,3D,N,PC,,N,,
1488,Weather: Planet Creation Sand,TeachersPayTeachers,Tristen,FALSE,Middle School Audience,https://www.tytoonline.com/,2019,Tyto Online,,Y,Y,N,,,,,,,Free,,Singleplayer,Simulation++ Educational,,3D,N,PC,,N,,
1489,Win the White House,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2016,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,expansion packs available,
